sample;version;construct;construct_old;cub;cub2;cub3;splicing;replicate;fraction_full_length;fraction_spliced;relative_mrna_levels;relative_fl_mrna_levels;relative_spliced_mrna_levels;relative_mrna_levels_nm;relative_fl_mrna_levels_nm;relative_spliced_mrna_levels_nm;median_GFP.A;GFP.A;GFP.A_nm;log10_GFP.A;positivity_threshold;negative_cell_fraction;positive_cell_fraction;i1;i2;i3;gaussian_mean1;gaussian_mean2;intensity_shble_raw;intensity_gfp_raw;intensity_neo_raw;intensity_sample;intensity shble norm;intensity_gfp_norm;intensity_neo_norm;intnorm_shble_mrna_fl;intnorm_gfp_mrna;iBAQ_all;ibaq_100hits;ibaqraw_shble;ibaqnorm_shble;ibaqnorm_shble_nm;ibaqraw_gfp;ibaqnorm_gfp;ibaqnorm_gfp_nm;ibaqnorm_gfp_tot;ibaqnorm_gfp_tot_nm;ibaqnorm_gfp_tot_mrna_fl;ibaqnorm_gfp_tot_mrna_fl_nm;ibaq_neo;ibaqnorm_neo;ibaqnorm_neo_nm;ibaqnorm_gfp_neo;ibaqnorm_shble_neo;fluo_mrna_nm;fluo_mrna;fluo_mrna_sh1;ibaqnorm_shble_mrna;ibaqnorm_shble_mrna_fl;ibaqnorm_shble_mrna_fl_sh1;ibaqnorm_nm_shble_mrna_fl_nm;ibaqnorm_gfp_mrna;ibaqnorm_gfp_mrna_sh1;ibaqnorm_nm_gfp_mrna_nm;ibaqnorm_shble_gfp;ibaqraw_shble_gfp;ibaqraw_shble_mrna_fl;ibaqraw_gfp_mrna;slope_shble_gfp_normibaq;COUSIN_18;CAI_18;CAI_59;GC3(%);COUSIN_59;folding;freq_CpG;freq_TpA;Axis1;Axis2;Axis3;Axis4;Axis5
sh1s_r3;sh1;sh1;sh1;yes;high;overmatch;no;r3;1;0;0.568408487;0.568408487;0;0.86154616;0.86154616;0;6282.5;437820008;0.661;8.641295605;18253.03;0.87;0.13;0.12;0.01;0;3.74994327889327;4.1778861175148;32068977180;15126995.95;189709922;3,61E+12;0.008884958;0.00000419;0.0000525606;0.010312806;0.00000486;3610000000000;1650000000000;32068977180;0.000567054;1;15126995.95;0.000000466;0.860705235;0.000821116436425148;0.462569362846985;0.000821116436425148;0.79743908277707;189709922;0.0000526;0.571967389;0.008859317;10.78857547;0.767225287;770255930.9;1;0.000997617;0.000997617;1;1.2;0.00000082;1;1;1216.854077;2119.983193;37222587331;17557963.41;0.00009;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r4;sh1;sh1;sh1;yes;high;overmatch;no;r4;1;0;0.148650889;0.148650889;0;0.843815796;0.843815796;0;5762;264402582;0.866;8.422265692;18253.03;0.95;0.05;0.05;0;0;3.743569338448;4.11192240382104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.02629034;1778681467;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r5;sh1;sh1;sh1;yes;high;overmatch;no;r5;1;0;0.165320018;0.165320018;0;0.750019495;0.750019495;0;9402;431992030;0.892;8.635475734;18253.03;0.86;0.14;0.14;0;0;3.94576305340175;4.38708725461763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.189302419;2613065463;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r6;sh1;sh1;sh1;yes;high;overmatch;no;r6;1;0;0.619495912;0.619495912;0;1;1;0;8008;1082762745;0.595;9.034533304;18253.03;0.73;0.27;0.22;0.04;0;3.80210662397948;4.798562260767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.595;1747812576;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r7;sh1;sh1;sh1;yes;high;overmatch;no;r7;1;0;1.805627129;1.805627129;0;0.588453369;0.588453369;0;11817.5;1362134600;0.605;9.134220025;18253.03;0.64;0.36;0.3;0.06;0;3.91873328642657;4.72750927469808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.028118848;754383104.9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh1s_r8;sh1;sh1;sh1;yes;high;overmatch;no;r8;1;0;1.534214286;1.534214286;0;0.879649076;0.879649076;0;28262;1923805532;0.98;9.284161169;18253.03;0.33;0.67;0.59;0.08;0;4.1951893097657;4.85128742905925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.114080634;1253935353;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.514;0.999;0.998;92.029;3.506;-1188.8;0.091787;0.009661836;-2.054666903;1.224755394;-0.446485985;0.345364564;0.005915763
sh10s_r1;sh10;sh10sp;sh10;no;NA;NA;yes;r1;0.13;0.87;5.86649985;0.762644981;5.10385487;0.996540263;0.129550234;0.866990029;17344;3946951423;2.42;9.596261781;18253.03;0.51;0.49;0.34;0.15;0.01;3.87525913592811;4.8832769858641;12447008146;329399973.4;303150088.1;7,71E+11;0.016143634;0.000427228;0.000393182;0.124612931;0.000428711;771000000000;366000000000;12447008146;0.001230026;0.592609116;329399973.4;0.0000126;3.722870568;0.0101398168073097;0.862678274631405;0.00132990815764077;0.567909005815201;303150088.1;0.000393182;1.07699851;0.032161696;3.12838838;2.428401631;672794941.4;2.77121076624071;0.000209669;0.001612842;2.55154531532786;4.6;0.00000215;11.9444444444444;3.7;97.62111111;37.78691303;96078623416;330543567.2;0.01;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10s_r2;sh10;sh10sp;sh10;no;NA;NA;yes;r2;0.12;0.88;3.452161599;0.414259392;3.037902207;1;0.12;0.88;15088;3208164659;2.32;9.50625665;18253.03;0.55;0.45;0.32;0.13;0.01;3.95565828411462;4.75110582037304;20978004755;467560289.3;744130128.1;2,63E+12;0.007961716;0.000177452;0.000282417;0.066347637;0.000177452;2630000000000;1250000000000;20978004755;0.000591872;0.426637757;467560289.3;0.0000046;2.218198118;0.00771201330489948;0.838690271471004;0.000931765087436955;0.557407292919155;744130128.1;0.000282417;1.310124556;0.016295549;2.095737863;2.32;929320533.6;3.53327953466019;0.00017145;0.001428747;2.74371225287334;3.6;0.00000133;2.8;2.2;128.6678261;44.86695135;1,75E+11;467560289.3;0.01;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10s_r3;sh10;sh10sp;sh10;no;NA;NA;yes;r3;0.07;0.93;1.079228237;0.075545977;1.00368226;1.635804117;0.114506288;1.521297829;8559.5;2081298049;3.14;9.318334277;18253.03;0.7;0.3;0.21;0.08;0;3.80954694231536;4.63034114879322;5296103758;108940061.9;353700036.3;2,29E+12;0.002316107;0.000047642;0.000154681;0.020226896;0.0000291245;2290000000000;1130000000000;5296103758;0.000172546;0.304284953;108940061.9;0.00000181;3.350172178;0.0103810594416022;0.916735935846992;0.000733758148723663;1.05963031015984;353700036.3;0.000154681;1.683247293;0.011717535;1.115495762;1.919545236;1928505925;2.50372096810297;0.000159879;0.002283987;2.28944274205432;2.5;0.00000168;2.04878048780488;2;95.32928177;48.61484073;46251641290;66597253.77;0.01;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
sh10s_r4;sh10;sh10sp;sh10;no;NA;NA;yes;r4;0.16;0.84;0.145087989;0.023214078;0.121873911;0.823591017;0.131774563;0.691816454;6021;486183828;1.59;8.686800509;18253.03;0.92;0.08;0.07;0.01;0;3.75813560137786;4.32882800783082;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.930569867;3350958479;1.88395648190559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.723;0.783;0.764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
